                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9207,                 6.7861,                 1.5948,                0.67348,                  0.178,                0.15102,                0.08151,                 1.7553,                 2.2985,                 1.5601,             0.00027401,             0.00027401,             0.00027401
                      1,                 1.8081,                 2.0998,                 1.5051,                0.29044,                0.18551,                0.14228,                0.07287,                 1.8978,                 2.0966,                 1.7143,             0.00054622,             0.00054622,             0.00054622
                      2,                 1.8216,                 2.0351,                 1.5226,                 0.3886,                0.15914,                0.13392,                0.06692,                 1.9484,                 2.2653,                 1.7461,             0.00081293,             0.00081293,             0.00081293
                      3,                 1.8242,                 2.0052,                 1.5404,                0.31367,                0.21069,                0.17006,                0.08302,                 1.8307,                 2.2334,                  1.618,             0.00080826,             0.00080826,             0.00080826
                      4,                 1.7944,                 1.9318,                 1.5241,                 0.3812,                0.21375,                0.17709,                0.08962,                 1.8049,                 1.9169,                 1.5954,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.7483,                 1.8575,                 1.4943,                0.38069,                0.19081,                 0.1582,                0.08004,                 1.8341,                 2.0541,                  1.655,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.7418,                 1.8138,                 1.4876,                0.38043,                0.25737,                0.21517,                0.10828,                 1.7242,                 1.7948,                 1.5424,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.6971,                 1.7663,                  1.459,                0.38373,                0.26966,                0.21596,                0.10959,                 1.7052,                 1.8632,                 1.5506,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.6769,                 1.7417,                 1.4482,                0.38419,                 0.2908,                0.24069,                 0.1234,                 1.7067,                 1.6807,                 1.5521,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.6596,                 1.6991,                 1.4354,                0.40365,                0.28061,                0.24449,                0.12611,                 1.6651,                 1.6078,                 1.5049,             0.00076703,             0.00076703,             0.00076703
                     10,                 1.6541,                 1.6739,                 1.4338,                0.42634,                 0.3121,                0.26764,                0.13494,                 1.6711,                 1.6455,                 1.5288,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.6151,                 1.6505,                 1.4138,                0.39097,                0.30551,                0.23828,                0.12456,                 1.6616,                 1.5987,                 1.5007,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.6428,                 1.6469,                 1.4224,                 0.4183,                0.29289,                0.26676,                0.13634,                 1.6466,                 1.5537,                 1.5085,             0.00074229,             0.00074229,             0.00074229
                     13,                 1.6101,                 1.6115,                 1.3966,                0.38928,                0.31586,                 0.2515,                0.12775,                 1.6462,                 1.5899,                 1.4937,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.6086,                 1.6044,                 1.3938,                0.43569,                0.29489,                 0.2586,                0.13439,                 1.6253,                 1.6088,                 1.4756,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.5807,                 1.5605,                 1.3759,                0.45548,                0.32067,                0.27728,                0.14357,                 1.6201,                 1.5765,                 1.4861,             0.00071755,             0.00071755,             0.00071755
                     16,                 1.5856,                 1.5544,                 1.3886,                0.41627,                0.32609,                0.27591,                0.14185,                 1.6118,                 1.5202,                 1.4658,              0.0007093,              0.0007093,              0.0007093
